driver_id,total_fare,avg_distance
7,120.14,25.41
54,62.59,10.68
69,107.74,27.39
64,7.18,14.91
3,131.19,27.369999999999997
22,57.86,7.75
35,61.95,29.67
16,63.4,31.24
96,104.82,7.53
5,7.02,46.74
70,163.97,42.65
61,81.07,23.75
26,79.57,27.14
78,93.32,5.43
90,72.19,8.65
41,85.63,29.03
55,57.5,23.7
95,210.5,23.87
25,67.09,46.05
82,123.27,19.91
58,15.74,13.96
81,84.95,11.205000000000002
84,93.14,20.56
79,101.6,15.45
24,112.62,21.98
32,7.09,19.15
49,146.69,31.13
21,32.55,29.21
94,198.05,34.975
91,62.35,39.8
76,83.66,21.5
80,56.63,7.46
50,134.89,25.09
57,32.03,48.0
